Subject,State Name,Total Facilities,Websites Found,Success Rate,Updated JSON File,Error
/home/ubuntu/alabama_facilities.json,Alabama,224,206,92.0%,/home/ubuntu/updated_file/0_HksSmb1TQWuuUSJfnB5dja_1770827751267_na1fn_L2hvbWUvdWJ1bnR1L2FsYWJhbWFfZmFjaWxpdGllc191cGRhdGVk.json,
/home/ubuntu/alaska_facilities.json,Alaska,20,20,100.0%,/home/ubuntu/updated_file/1_bODRKIyJXtBXHUsqxKSodT_1770827597407_na1fn_L2hvbWUvdWJ1bnR1L2FsYXNrYV9mYWNpbGl0aWVzX3VwZGF0ZWQ.json,
/home/ubuntu/arizona_facilities.json,Arizona,140,139,99.3%,/home/ubuntu/updated_file/2_aaXuDGCIdGWbfYaqbdrhwg_1770828613350_na1fn_L2hvbWUvdWJ1bnR1L2FyaXpvbmFfZmFjaWxpdGllc191cGRhdGVk.json,
/home/ubuntu/arkansas_facilities.json,Arkansas,221,215,97.3%,/home/ubuntu/updated_file/3_Y6uqDpYBQvFtM8GlE5BTo4_1770827737380_na1fn_L2hvbWUvdWJ1bnR1L2Fya2Fuc2FzX2ZhY2lsaXRpZXNfdXBkYXRlZA.json,
/home/ubuntu/california_facilities.json,California,1163,1079,92.8%,/home/ubuntu/updated_file/4_9yfggjGZVikFKQRyxjcBEg_1770832223342_na1fn_L2hvbWUvdWJ1bnR1L2NhbGlmb3JuaWFfZmFjaWxpdGllc191cGRhdGVk.json,
/home/ubuntu/colorado_facilities.json,Colorado,210,194,92.4%,/home/ubuntu/updated_file/5_gTvuEQVP8UfPCjx73Nbh6N_1770828219351_na1fn_L2hvbWUvdWJ1bnR1L2NvbG9yYWRvX2ZhY2lsaXRpZXNfdXBkYXRlZA.json,
/home/ubuntu/connecticut_facilities.json,Connecticut,193,189,97.9%,/home/ubuntu/updated_file/6_ugGjWhBxBUJrg8Zna30ee9_1770827860918_na1fn_L2hvbWUvdWJ1bnR1L2Nvbm5lY3RpY3V0X2ZhY2lsaXRpZXNfdXBkYXRlZA.json,
/home/ubuntu/dc_facilities.json,District of Columbia,17,15,88.2%,/home/ubuntu/updated_file/7_4B04nmXyiGcWCV905yDYSX_1770827674495_na1fn_L2hvbWUvdWJ1bnR1L2RjX2ZhY2lsaXRpZXNfdXBkYXRlZA.json,
/home/ubuntu/delaware_facilities.json,Delaware,44,42,95.5%,/home/ubuntu/updated_file/8_mX2JaSUqcetH06fSzKl9zV_1770827616362_na1fn_L2hvbWUvdWJ1bnR1L2RlbGF3YXJlX2ZhY2lsaXRpZXNfdXBkYXRlZA.json,
/home/ubuntu/florida_facilities.json,Florida,695,677,97.4%,/home/ubuntu/updated_file/9_crRnyCXw4PXRS37pIA3rYU_1770830015951_na1fn_L2hvbWUvdWJ1bnR1L2Zsb3JpZGFfZmFjaWxpdGllc193aXRoX3dlYnNpdGVz.json,
/home/ubuntu/georgia_facilities.json,Georgia,356,325,91.3%,/home/ubuntu/updated_file/10_dAnYmv6Z3XyvBx119pFk5D_1770828031268_na1fn_L2hvbWUvdWJ1bnR1L2dlb3JnaWFfZmFjaWxpdGllc191cGRhdGVk.json,
/home/ubuntu/hawaii_facilities.json,Hawaii,42,40,95.2%,/home/ubuntu/updated_file/11_gzsQMqQuWV85Ox9g01eh3Z_1770828586649_na1fn_L2hvbWUvdWJ1bnR1L2hhd2FpaV9mYWNpbGl0aWVzX3VwZGF0ZWQ.json,
