path,bytes_uncompressed,over_2mb,crawl_window_bytes,body_start_byte,h1_pos_byte,h1_in_first_2mb,top20_byte_cutoff,h1_in_top20_html,top20_body_byte_cutoff,h1_in_top20_body,uniqueness_marker,uniqueness_pos_byte,uniqueness_in_first_2mb,uniqueness_in_top20_html,uniqueness_in_top20_body
404.html,400,false,400,359,-1,false,80,false,367,false,,-1,false,false,false
ahrefs-site-verification_963ec89af0c266aef141ddb5fb0e653ea01a96345a614c791c8e7a978701660e.html,89,false,89,0,-1,false,17,false,17,false,,-1,false,false,false
assisted-living/alabama/cities/abbeville/index.html,16622,false,16622,2296,2887,true,3324,true,5161,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/alabaster/index.html,17870,false,17870,2296,2887,true,3574,true,5410,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/albertville/index.html,16660,false,16660,2328,2919,true,3332,true,5194,true,Local Data Signals,3088,true,true,true
assisted-living/alabama/cities/alexander-city/index.html,19519,false,19519,2376,2967,true,3903,true,5804,true,Local Data Signals,3139,true,true,true
assisted-living/alabama/cities/aliceville/index.html,16620,false,16620,2312,2903,true,3324,true,5173,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/altoona/index.html,16223,false,16223,2264,2855,true,3244,true,5055,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/andalusia/index.html,16444,false,16444,2296,2887,true,3288,true,5125,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/anniston/index.html,17780,false,17780,2280,2871,true,3556,true,5380,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/arab/index.html,16123,false,16123,2216,2807,true,3224,true,4997,true,Local Data Signals,2969,true,true,true
assisted-living/alabama/cities/ashland/index.html,16358,false,16358,2264,2855,true,3271,true,5082,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/ashville/index.html,16245,false,16245,2280,2871,true,3249,true,5073,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/athens/index.html,17768,false,17768,2248,2839,true,3553,true,5352,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/atmore/index.html,16288,false,16288,2248,2839,true,3257,true,5056,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/attalla/index.html,16513,false,16513,2264,2855,true,3302,true,5113,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/auburn/index.html,16222,false,16222,2248,2839,true,3244,true,5042,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/bay-minette/index.html,16746,false,16746,2328,2919,true,3349,true,5211,true,Local Data Signals,3088,true,true,true
assisted-living/alabama/cities/bessemer/index.html,20410,false,20410,2280,2871,true,4082,true,5906,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/birmingham/index.html,31707,false,31707,2312,2903,true,6341,true,8191,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/boaz/index.html,16114,false,16114,2216,2807,true,3222,true,4995,true,Local Data Signals,2969,true,true,true
assisted-living/alabama/cities/brewton/index.html,16339,false,16339,2264,2855,true,3267,true,5079,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/bridgeport/index.html,16455,false,16455,2312,2903,true,3291,true,5140,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/butler/index.html,16368,false,16368,2248,2839,true,3273,true,5072,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/camden/index.html,16292,false,16292,2248,2839,true,3258,true,5056,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/carbon-hill/index.html,16711,false,16711,2328,2919,true,3342,true,5204,true,Local Data Signals,3088,true,true,true
assisted-living/alabama/cities/centre/index.html,16427,false,16427,2248,2839,true,3285,true,5083,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/centreville/index.html,16689,false,16689,2328,2919,true,3337,true,5200,true,Local Data Signals,3088,true,true,true
assisted-living/alabama/cities/chatom/index.html,16347,false,16347,2248,2839,true,3269,true,5067,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/citronelle/index.html,16642,false,16642,2312,2903,true,3328,true,5178,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/clanton/index.html,16358,false,16358,2264,2855,true,3271,true,5082,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/collinsville/index.html,16621,false,16621,2344,2935,true,3324,true,5199,true,Local Data Signals,3105,true,true,true
assisted-living/alabama/cities/columbiana/index.html,16677,false,16677,2312,2903,true,3335,true,5185,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/cordova/index.html,16492,false,16492,2264,2855,true,3298,true,5109,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/crossville/index.html,16674,false,16674,2312,2903,true,3334,true,5184,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/cullman/index.html,19122,false,19122,2264,2855,true,3824,true,5635,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/dadeville/index.html,16534,false,16534,2296,2887,true,3306,true,5143,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/daphne/index.html,16353,false,16353,2248,2839,true,3270,true,5069,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/deatsville/index.html,16726,false,16726,2312,2903,true,3345,true,5194,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/decatur/index.html,17634,false,17634,2264,2855,true,3526,true,5338,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/demopolis/index.html,16540,false,16540,2296,2887,true,3308,true,5144,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/dothan/index.html,19091,false,19091,2248,2839,true,3818,true,5616,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/double-springs/index.html,16920,false,16920,2376,2967,true,3384,true,5284,true,Local Data Signals,3139,true,true,true
assisted-living/alabama/cities/eight-mile/index.html,16725,false,16725,2312,2903,true,3345,true,5194,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/elba/index.html,16252,false,16252,2216,2807,true,3250,true,5023,true,Local Data Signals,2969,true,true,true
assisted-living/alabama/cities/elmore/index.html,16251,false,16251,2248,2839,true,3250,true,5048,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/enterprise/index.html,16671,false,16671,2312,2903,true,3334,true,5183,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/eufaula/index.html,16394,false,16394,2264,2855,true,3278,true,5090,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/eutaw/index.html,16220,false,16220,2232,2823,true,3244,true,5029,true,Local Data Signals,2986,true,true,true
assisted-living/alabama/cities/evergreen/index.html,16556,false,16556,2296,2887,true,3311,true,5148,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/fairhope/index.html,17809,false,17809,2280,2871,true,3561,true,5385,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/falkville/index.html,17933,false,17933,2296,2887,true,3586,true,5423,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/fayette/index.html,16477,false,16477,2264,2855,true,3295,true,5106,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/florala/index.html,16453,false,16453,2264,2855,true,3290,true,5101,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/florence/index.html,20367,false,20367,2280,2871,true,4073,true,5897,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/foley/index.html,16211,false,16211,2232,2823,true,3242,true,5027,true,Local Data Signals,2986,true,true,true
assisted-living/alabama/cities/fort-payne/index.html,16649,false,16649,2312,2903,true,3329,true,5179,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/gadsden/index.html,18954,false,18954,2264,2855,true,3790,true,5602,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/gardendale/index.html,16516,false,16516,2312,2903,true,3303,true,5152,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/geneva/index.html,16433,false,16433,2248,2839,true,3286,true,5085,true,Local Data Signals,3003,true,true,true
assisted-living/alabama/cities/georgiana/index.html,16598,false,16598,2296,2887,true,3319,true,5156,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/glencoe/index.html,16256,false,16256,2264,2855,true,3251,true,5062,true,Local Data Signals,3020,true,true,true
assisted-living/alabama/cities/goodwater/index.html,16521,false,16521,2296,2887,true,3304,true,5141,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/grand-bay/index.html,16607,false,16607,2296,2887,true,3321,true,5158,true,Local Data Signals,3054,true,true,true
assisted-living/alabama/cities/greensboro/index.html,16441,false,16441,2312,2903,true,3288,true,5137,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/greenville/index.html,16700,false,16700,2312,2903,true,3340,true,5189,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/guin/index.html,16093,false,16093,2216,2807,true,3218,true,4991,true,Local Data Signals,2969,true,true,true
assisted-living/alabama/cities/guntersville/index.html,18043,false,18043,2344,2935,true,3608,true,5483,true,Local Data Signals,3105,true,true,true
assisted-living/alabama/cities/haleyville/index.html,16599,false,16599,2312,2903,true,3319,true,5169,true,Local Data Signals,3071,true,true,true
assisted-living/alabama/cities/hamilton/index.html,16479,false,16479,2280,2871,true,3295,true,5119,true,Local Data Signals,3037,true,true,true
assisted-living/alabama/cities/hanceville/index.html,16643,false,16643,2312,2903,true,3328,true,5178,true,Local Data Signals,3071,true,true,true
